NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,The Mango Furs,Bones -Inner Migrations,,,,96,1
BAGeL Radio,A,Harper Simon,Bonnie Brae -Division Street,,,,123,1
BAGeL Radio,A,Shawn Lee,Boogie Children (Saturn Day Night) -Synthesizers In Space,,,,98,1
BAGeL Radio,A,We Are Augustines,Book Of James -Rise Ye Sunken Ships,,,,119,1
BAGeL Radio,A,Simple Minds,Book of Brilliant Things -Sparkle in the Rain,,,,130,1
BAGeL Radio,A,The Clientele,Bookshop Casanova,,,,187,1
BAGeL Radio,A,Silversun Pickups,Booksmart Devil,,,,91,1
BAGeL Radio,A,Hooton Tennis Club,Bootcut Jimmy The G,,,,113,1
BAGeL Radio,A,Hooton Tennis Club,Bootcut Jimmy The G -Big Box Of Chocolates,,,,227,2
BAGeL Radio,A,Honduras,Borders,,,,55,1
BAGeL Radio,A,The Buzzcocks,Boredom,,,,85,1
BAGeL Radio,A,Our Girl,Boring (tedit),,,,66,1
BAGeL Radio,A,Our Girl,Boring (tedit) -Stranger Today,,,,158,1
BAGeL Radio,A,Plax,Boring Story,,,,154,1
BAGeL Radio,A,Tyler Keith,Born Again Virgin,,,,390,3
BAGeL Radio,A,Wilco,Born Alone -The Whole Love,,,,93,1
BAGeL Radio,A,Porridge Radio,Born Confused,,,,138,1
BAGeL Radio,A,Porridge Radio,Born Confused -Every Bad,,,,173,1
BAGeL Radio,A,Drill Queen,Born Depressed -Born Depressed E.P.,,,,140,1
BAGeL Radio,A,Lael Neale,Born In The Summer -I'll Be Your Man,,,,177,1
BAGeL Radio,A,Black Moth Super Rainbow,Born On A Day The Sun Didn't Rise -Eating Us,,,,166,1
BAGeL Radio,A,The Magnetic Fields,Born On A Train,,,,110,1
BAGeL Radio,A,The Thermals,Born To Kill,,,,47,1
BAGeL Radio,A,The Thermals,Born To Kill -Desperate Ground,,,,107,1
BAGeL Radio,A,Sat. Nite Duets,Born To Walk,,,,63,1
BAGeL Radio,A,Ed Harcourt,Born in the '70s,,,,134,1
BAGeL Radio,A,Parquet Courts,Borrowed Time,,,,346,4
BAGeL Radio,A,Parquet Courts,Borrowed Time -Light Up Gold,,,,503,4
BAGeL Radio,A,Mush,Bots!,,,,92,1
BAGeL Radio,A,"Mandy, Indiana",Bottle Episode,,,,414,3
BAGeL Radio,A,...EP,"Bottle Episode  - Mandy, Indiana",,,,597,4
BAGeL Radio,A,"Mandy, Indiana",Bottle Episode -...EP,,,,952,7
BAGeL Radio,A,Knuckle Pups,Bottom Baby,,,,142,1
BAGeL Radio,A,DTCV,Bourgeois Pop,,,,174,1
BAGeL Radio,A,Pavement,Box Elder -Westing (By Musket And Sextant),,,,156,1
BAGeL Radio,A,The Wedding Present,Box Elder Mo -Bizarro,,,,71,1
BAGeL Radio,A,FACS,Boy,,,,80,1
BAGeL Radio,A,Book Of Love,Boy -Book Of Love,,,,94,1
BAGeL Radio,A,FACS,Boy -Void Moments,,,,322,2
BAGeL Radio,A,Starfucker,Boy Toy,,,,114,1
BAGeL Radio,A,Las Rosas,Boys,,,,85,1
BAGeL Radio,A,The Cure,Boys Don't Cry,,,,56,1
BAGeL Radio,A,The Cure,Boys Don't Cry -Boys Don't Cry,,,,241,2
BAGeL Radio,A,Fontaines D.C.,Boys In The Better Land (Radio Edit) -Dogrel,,,,182,1
BAGeL Radio,A,Panda Bear,Boys Latin -Panda Bear Meets The Grim Reaper,,,,101,1
BAGeL Radio,A,Stella Donnelly,Boys Will Be Boys,,,,77,1
BAGeL Radio,A,Rebuilding The Rights of Statues,Boys in Cage,,,,119,1
BAGeL Radio,A,M.I.A.,Boyz -Kala,,,,66,1
BAGeL Radio,A,Holiday Shores,Bradley Bear,,,,143,1
BAGeL Radio,A,The Amps,Bragging Party,,,,87,1
BAGeL Radio,A,Cloud Cult,Brain Gateway -The Meaning of 8,,,,137,1
BAGeL Radio,A,The Peep Tempel,Brains,,,,111,1
BAGeL Radio,A,The Peep Tempel,Brains -Joy,,,,252,2
BAGeL Radio,A,The Clash,Brand New Cadillac -London Calling,,,,108,1
BAGeL Radio,A,The Postal Service,Brand New Colony,,,,151,1
BAGeL Radio,A,The Wedding Present,Brassneck,,,,131,1
BAGeL Radio,A,Spray Paint,Brat Beater -Feel the Clamps,,,,116,1
BAGeL Radio,A,Beirut,Bratislava,,,,211,1
BAGeL Radio,A,WIXIW,Brats  - Liars,,,,554,4
BAGeL Radio,A,Liars,Brats -WIXIW,,,,101,1
BAGeL Radio,A,Heartless Bastards,Brazen,,,,87,1
BAGeL Radio,A,Fugazi,Break -End Hits,,,,76,1
BAGeL Radio,A,Iggy Pop,Break Into Your Heart -Post Pop Depression,,,,180,1
BAGeL Radio,A,Doves,Break Me Gently,,,,145,1
BAGeL Radio,A,Frank Black,Break My Body,,,,131,1
BAGeL Radio,A,East Village,Break Your Neck -Hotrod Hotel,,,,190,1
BAGeL Radio,A,Ultimate Painting,Break the Chain,,,,271,2
BAGeL Radio,A,Dntel,Breakfast In Bed (Ft. Conor Oberst) -Dumb Luck,,,,103,1
BAGeL Radio,A,Lykke Li,Breaking It Up -Youth Novels,,,,64,1
BAGeL Radio,A,Oscar,Breaking My Phone,,,,82,1
BAGeL Radio,A,A Place To Bury Strangers,Breathe,,,,97,1
BAGeL Radio,A,Call To Mind,Breathe,,,,61,1
BAGeL Radio,A,A Place To Bury Strangers,Breathe -A Place To Bury Strangers,,,,125,1
BAGeL Radio,A,Juan Wauters,Breathing (Featuring Carmelle) -N.A.P. North American Poetry,,,,162,1
BAGeL Radio,A,Waxahatchee,Breathless -Ivy Tripp,,,,168,1
BAGeL Radio,A,Nirvana,Breed,,,,131,1
BAGeL Radio,A,Nirvana,Breed -Nevermind,,,,75,1
BAGeL Radio,A,Film School,Breet,,,,62,1
BAGeL Radio,A,Folk Devils,Brian Jones' Bastard Son -Folk Devils : Beautiful Monsters,,,,42,1
BAGeL Radio,A,(Sandy) Alex G,Brick,,,,118,1
BAGeL Radio,A,Pixies,Brick Is Red -Surfer Rosa,,,,177,2
BAGeL Radio,A,Palomar,Bridge Of Sighs,,,,87,1
BAGeL Radio,A,Ice Palace,Bright Leaf Left,,,,41,1
BAGeL Radio,A,Ice Palace,Bright Leaf Left -Bright Leaf Left,,,,123,1
BAGeL Radio,A,You Me & Us,Bright Red Marker,,,,77,1
BAGeL Radio,A,Kishi Bashi,Bright Whites -151a,,,,147,1
BAGeL Radio,A,Throwing Muses,Bright Yellow Gun,,,,106,1
BAGeL Radio,A,Jesus Jones,Bring It On Down,,,,182,1
BAGeL Radio,A,Echo & the Bunnymen,Bring On The Dancing Horses -Songs To Learn & Sing,,,,354,2
BAGeL Radio,A,Francis of Delirium,Broken -All Change [EP],,,,257,2
BAGeL Radio,A,Jesse Woods,Broken Bottle,,,,116,1
BAGeL Radio,A,Jesse Woods,Broken Bottle -Get Your Burdens Lifted,,,,124,1
BAGeL Radio,A,The Wedding Present,Broken Bow,,,,61,1
BAGeL Radio,A,The Wedding Present,"Broken Bow -Going, Going...",,,,108,1
BAGeL Radio,A,Ex Cops,Broken Chinese Chairz,,,,138,1
BAGeL Radio,A,Hello Fever,Broken Lines,,,,136,1
BAGeL Radio,A,Led Zeppelin,Bron-Yr-Aur,,,,62,1
BAGeL Radio,A,Calla,Bronson -Strength In Numbers,,,,140,1
BAGeL Radio,A,Mal Blum,Brooklyn,,,,70,1
BAGeL Radio,A,The Black Keys,Brooklyn Bound,,,,103,1
BAGeL Radio,A,Kevin Devine,Brooklyn Boy,,,,69,1
BAGeL Radio,A,Chemtrails,Brother Connor -The Peculiar Smell of the Inevitable,,,,161,1
BAGeL Radio,A,Versari,Brûle -Sous la peau,,,,112,1
BAGeL Radio,A,Du Blonde,Buddy -Lung Bread For Daddy,,,,102,1
BAGeL Radio,A,Jeen,Buena Vista -Tourist (Deluxe Edition),,,,93,1
BAGeL Radio,A,Nerf Herder,Buffy The Vampire Slayer -TV Themes,,,,67,1
BAGeL Radio,A,One For The Team,Build It Up,,,,165,1
BAGeL Radio,A,The Viking,Bulgari,,,,122,1
BAGeL Radio,A,The Kumari,Bundy's Butterfly,,,,67,1
BAGeL Radio,A,The Kumari,Bundy's Butterfly -The Kumari,,,,131,1
BAGeL Radio,A,The Tallest Man On Earth,Burden Of Tomorrow,,,,121,1
BAGeL Radio,A,Furrows,Burial (Single Edit),,,,1189,10
BAGeL Radio,A,Fisher King,Burial (Single Edit)  - Furrows,,,,562,3
BAGeL Radio,A,Furrows,Burial (Single Edit) -Fisher King,,,,1018,9
BAGeL Radio,A,PIPeS,Burn -Buy American,,,,142,1
BAGeL Radio,A,The Grates,"Burn Bridges -Teeth Lost, Hearts Won",,,,86,1
BAGeL Radio,A,Motive,Burn Down Brooklyn,,,,111,1
BAGeL Radio,A,Subliminal Girls,Burn Koko -Burn Koko (Single),,,,112,1
BAGeL Radio,A,UNKLE,Burn My Shadow (feat. Ian Astbury),,,,145,1
BAGeL Radio,A,The Lounge Society,Burn The Heather,,,,165,1
BAGeL Radio,A,Radiohead,Burn The Witch -A Moon Shaped Pool,,,,92,1
BAGeL Radio,A,Radiohead,Burn The Witch -Burn The Witch (single),,,,175,1
BAGeL Radio,A,Vundabar,Burned Off,,,,100,1
BAGeL Radio,A,The Jim Jones Revue,Burning Your House Down -Burning Your House Down,,,,77,1
BAGeL Radio,A,Cass McCombs,Bury Mary,,,,60,1
BAGeL Radio,A,The Hollies,Bus Stop,,,,322,3
BAGeL Radio,A,Les Manteez,Busy Fiction Makers -Busy Fiction Makers (single),,,,308,2
BAGeL Radio,A,The Sun Days,Busy People -Album,,,,251,2
BAGeL Radio,A,Minipop,Butterflies,,,,86,1
BAGeL Radio,A,Minipop,Butterflies -A New Hope,,,,120,1
BAGeL Radio,A,Screaming Trees,Butterfly -Sweet Oblivion,,,,104,1
BAGeL Radio,A,The Go! Team,Buy Nothing Day -Rolling Blackouts,,,,119,1
BAGeL Radio,A,Black Strobe,Buzz Buzz Buzz,,,,53,1
BAGeL Radio,A,Particle Wave,By The Waterside -Painting On Shadows,,,,102,1
BAGeL Radio,A,Nobunny,Bye Bye Roxie -Secret Songs: Reflections From The Ear Mirror,,,,342,2
BAGeL Radio,A,Weevil,Bytecry,,,,188,1
BAGeL Radio,A,Chop Chop,C Train David,,,,109,1
BAGeL Radio,A,Squarehead,C'mon Man,,,,153,1
BAGeL Radio,A,Squarehead,C'mon Man -Out of Season,,,,181,1
BAGeL Radio,A,mewithoutYou,C-Minor,,,,83,1
BAGeL Radio,A,Quand me réveillerai-je?,CIKATRI$-Aïe ! (le trois),,,,365,4
BAGeL Radio,A,Chain Reaction,CONTROL TOP-Covert Contracts,,,,58,1
BAGeL Radio,A,The Fall,Cab It Up -I Am Kurious Oranj,,,,465,3
BAGeL Radio,A,Pixies,Cactus,,,,194,2
BAGeL Radio,A,Pixies,Cactus -Surfer Rosa,,,,224,2
BAGeL Radio,A,Los Blancos,Cadi,,,,75,1
BAGeL Radio,A,Frankie Cosmos,Cafeteria -Vessel,,,,161,2
BAGeL Radio,A,Sallie Ford & The Sound Outside,Cage,,,,120,1
BAGeL Radio,A,The Lounge Society,Cain's Heresy -Silk For The Starving [EP],,,,133,1
BAGeL Radio,A,No Phone,Cake-Pressure Chief,,,,434,4
BAGeL Radio,A,Bogie,Caleb Landry Jones-Gadzooks Vol. 1 ,,,,446,5
BAGeL Radio,A,Ride,Cali (tedit),,,,140,1
BAGeL Radio,A,Fever The Ghost,Calico,,,,86,1
BAGeL Radio,A,Mazzy Star,California,,,,113,1
BAGeL Radio,A,onDeadWaves,California,,,,95,1
BAGeL Radio,A,Rogue Wave,California Bride,,,,196,1
BAGeL Radio,A,Kyle Andrews,Call And Fade -Real Blasty,,,,159,1
BAGeL Radio,A,SWIIMS,Call Me,,,,994,9
BAGeL Radio,A,At the Movies II,Call Me  - SWIIMS,,,,490,3
BAGeL Radio,A,SWIIMS,Call Me -At the Movies II,,,,1062,8
BAGeL Radio,A,Oblivians,Call The Police,,,,329,2
BAGeL Radio,A,Cheekface,Call Your Mom,,,,92,1
BAGeL Radio,A,Okkervil River,Calling And Not Calling My Ex -The Stand-Ins,,,,100,1
BAGeL Radio,A,Hockey,Calling Back,,,,146,1
BAGeL Radio,A,Automatic,Calling It,,,,75,1
BAGeL Radio,A,Automatic,Calling It -Signal,,,,159,1
BAGeL Radio,A,Audio Out Send,Calling On The Girl,,,,80,1
BAGeL Radio,A,Audio Out Send,Calling On The Girl -Sharpen The Hours,,,,132,1
BAGeL Radio,A,Deaf Wish,Calypso -Pain,,,,124,1
BAGeL Radio,A,Monokle,Calypt (Featuring Milinal),,,,114,1
BAGeL Radio,A,Local Natives,Camera Talk -Gorilla Manor,,,,181,1
BAGeL Radio,A,The Greeting Committee,Can I Leave Me Too?,,,,992,9
BAGeL Radio,A,Dandelion,Can I Leave Me Too?  - The Greeting Committee,,,,407,3
BAGeL Radio,A,The Greeting Committee,Can I Leave Me Too? -Dandelion,,,,910,8
BAGeL Radio,A,The High Water Marks,Can You -Ecstasy Rhymes,,,,403,3
BAGeL Radio,A,Apples In Stereo,Can You Feel It?,,,,65,1
BAGeL Radio,A,Camp Howard,Can&#771;o&#769;n -Can&#771;o&#769;n,,,,98,1
BAGeL Radio,A,Car Seat Headrest,Can't Cool Me Down -Making a Door Less Open,,,,235,2
BAGeL Radio,A,Waxahatchee,Can't Do Much,,,,91,1
BAGeL Radio,A,Charlatans UK,Can't Even Be Bothered -Between 10th And 11th,,,,654,5
BAGeL Radio,A,Tyvek,Can't Exist -Origin Of What,,,,88,1
BAGeL Radio,A,Vivian Girls,Can't Get Over You -Everything Goes Wrong,,,,107,1
BAGeL Radio,A,Cab 20,Can't Get You Out Of My Head,,,,160,1
BAGeL Radio,A,The Black Lips,Can't Hold On (radio edit) -Satan's Graffiti or God's Art?,,,,58,1
BAGeL Radio,A,They Might Be Giants,Can't Keep Johnny Down -Join Us,,,,159,1
BAGeL Radio,A,The Libertines,Can't Stand Me Now -The Libertines,,,,87,1
BAGeL Radio,A,Summer Cannibals,Can't Tell Me No,,,,101,1
BAGeL Radio,A,Cymbals,"Candy Bar -Sideways, Sometimes",,,,127,1
BAGeL Radio,A,Rykarda Parasol,Candy Gold,,,,51,1
BAGeL Radio,A,TR/ST,Candy Walls -TRST,,,,103,1
BAGeL Radio,A,The Cars,Candy-O -Candy-O,,,,294,2
BAGeL Radio,A,Siouxsie & the Banshees,Candyman -Tinderbox,,,,54,1
BAGeL Radio,A,SNFU,Cannibal Cafe -And No One Else Wanted to Play,,,,106,1
BAGeL Radio,A,Get Set Go,Cannibalism Is The Cure,,,,143,1
BAGeL Radio,A,The Breeders,Cannonball -Last Splash,,,,305,2
BAGeL Radio,A,Camp Howard,Cañón -Cañón,,,,81,1
BAGeL Radio,A,Amyl and The Sniffers,Capital,,,,878,9
BAGeL Radio,A,Comfort To Me,Capital  - Amyl and The Sniffers,,,,484,3
BAGeL Radio,A,Amyl and The Sniffers,Capital -Comfort To Me,,,,948,8
BAGeL Radio,A,Ernest Moon,Capitalism,,,,60,1
BAGeL Radio,A,Mr. Gnome,Capsize -Madness in Miniature,,,,114,1
BAGeL Radio,A,Wot,Captain Sensible-Women And Captains First ,,,,472,4
BAGeL Radio,A,Parquet Courts,Captive Of The Sun -Human Performance,,,,126,1
BAGeL Radio,A,Julian,Car,,,,248,2
BAGeL Radio,A,FEELS,Car -Post Earth,,,,169,1
BAGeL Radio,A,Dave Segedy,Car -Schrodego,,,,99,1
BAGeL Radio,A,IDLES,Car Crash,,,,671,5
BAGeL Radio,A,CRAWLER,Car Crash  - IDLES,,,,467,3
BAGeL Radio,A,IDLES,Car Crash -CRAWLER,,,,438,4
BAGeL Radio,A,Lost Boy ?,Car Wash,,,,233,2
BAGeL Radio,A,The Heavenly States,Car Wash,,,,106,1
BAGeL Radio,A,Lost Boy ?,Car Wash -Canned,,,,102,1
BAGeL Radio,A,The Heavenly States,Car Wash -The Heavenly States,,,,110,1
BAGeL Radio,A,Westkust,Care,,,,123,1
BAGeL Radio,A,Parenthetical Girls,Careful Who You Dance With -Privilege (Abridged),,,,126,1
BAGeL Radio,A,Beach Fossils,Careless,,,,92,1
BAGeL Radio,A,Beach Fossils,Careless -Clash The Truth,,,,98,1
BAGeL Radio,A,Pixies,Caribou -Come On Pilgrim,,,,115,1
BAGeL Radio,A,The Chap,Carlos Walter Wendy Stanley,,,,53,1
BAGeL Radio,A,The Paranoyds,Carnage Bargain,,,,57,1
BAGeL Radio,A,The Paranoyds,Carnage Bargain -Carnage Bargain,,,,84,1
BAGeL Radio,A,Mark Lanegan,Carnival,,,,65,1
BAGeL Radio,A,R.E.M.,Carnival Of Sorts (Box Cars),,,,70,1
BAGeL Radio,A,LKFFCT,Carnivorous Sweater (Killer Threads) -Cayenne [EP],,,,254,2
BAGeL Radio,A,Momma,Carny -Two Of Me,,,,253,2
BAGeL Radio,A,Girls,Carolina,,,,169,1
BAGeL Radio,A,Cocteau Twins,Carolyn's Fingers,,,,46,1
BAGeL Radio,A,Blue Bell Knoll,Carolyn's Fingers  - Cocteau Twins,,,,515,3
BAGeL Radio,A,Cocteau Twins,Carolyn's Fingers -Blue Bell Knoll,,,,336,3
BAGeL Radio,A,Honey Radar,Carousel Society,,,,211,2
BAGeL Radio,A,Gary Numan,Cars -The Pleasure Principle,,,,120,1
BAGeL Radio,A,Invisible Ink,Cartesian Jetstream-Ancestors,,,,126,1
BAGeL Radio,A,The Grates,"Carve Your Name -Teeth Lost, Hearts Won",,,,181,2
BAGeL Radio,A,McCarthy Trenching,Cassette Tape Massacre,,,,176,1
BAGeL Radio,A,Coves,Cast a Shadow,,,,376,3
BAGeL Radio,A,Out For The West,Castanets-Decimation Blues,,,,88,1
BAGeL Radio,A,Chris Garneau,Castle-Time -Music For Tourists,,,,164,1
BAGeL Radio,A,Olden Yolk,Castor and Pollux -Living Theatre,,,,108,1
BAGeL Radio,A,FACS,Casual Indifference,,,,135,1
BAGeL Radio,A,FACS,Casual Indifference -Void Moments,,,,149,1
BAGeL Radio,A,Adult Books,Casual Wrecks -Running From The Blows,,,,101,1
BAGeL Radio,A,The Naked Hearts,Cat & Mouse,,,,123,1
BAGeL Radio,A,Rainer Maria,Catastrophe -Catastrophe Keeps Us Together,,,,171,1
BAGeL Radio,A,The White Stripes,Catch Hell Blues -Icky Thump,,,,79,1
BAGeL Radio,A,Dimes,Catch Me Jumping,,,,192,1
BAGeL Radio,A,Headlights,"Catch Them All -Some Racing, Some Stopping",,,,83,1
BAGeL Radio,A,Avey Tare's Slasher Flicks,Catchy (Was Contagious),,,,109,1
BAGeL Radio,A,Supergrass,Caught By The Fuzz,,,,101,1
BAGeL Radio,A,Broken Social Scene,Cause=Time -You Forgot it in People,,,,118,1
BAGeL Radio,A,The Chameleons,Caution (tedit) -Strange Times,,,,108,1
BAGeL Radio,A,Wand,Caveism,,,,167,1
BAGeL Radio,A,Kuzin,Cavity,,,,103,1
BAGeL Radio,A,Sebadoh,Celebrate The Void,,,,129,1
BAGeL Radio,A,Sebadoh,Celebrate The Void -Act Surprised,,,,116,1
BAGeL Radio,A,Hüsker Dü,Celebrated Summer -New Day Rising,,,,120,1
BAGeL Radio,A,They Might Be Giants,Celebration -Join Us,,,,129,1
BAGeL Radio,A,The Eaves,Celebration -ST,,,,168,1
BAGeL Radio,A,Weekend,"Celebration, FL -Jinx",,,,124,1
BAGeL Radio,A,Girl In A Coma,Celibate Now,,,,154,1
BAGeL Radio,A,The Smiths,Cemetery Gates,,,,185,1
BAGeL Radio,A,The Smiths,Cemetery Gates -The Queen Is Dead,,,,150,2
BAGeL Radio,A,B.E.D.,"Centipedes  - Baxter Dury, Etienne de Crécy & Delilah Holliday",,,,258,2
BAGeL Radio,A,"Baxter Dury, Etienne de Crécy & Delilah Holliday",Centipedes -B.E.D.,,,,140,1
BAGeL Radio,A,Thunder In The Valley,Central Intelligence -Where Oh Where Oh Where,,,,80,1
BAGeL Radio,A,B Boys,Ceremonies Of Waste -Dudu,,,,153,1
BAGeL Radio,A,New Order,Ceremony,,,,152,1
BAGeL Radio,A,Radiohead,Ceremony (New Order Cover),,,,51,1
BAGeL Radio,A,Radiohead,Ceremony (New Order Cover) -Thumbs Down (Webcast),,,,106,1
BAGeL Radio,A,CONTROL TOP,Chain Reaction -Covert Contracts,,,,101,1
BAGeL Radio,A,Wet Leg,Chaise Longue,,,,1045,9
BAGeL Radio,A,Chaise Longue,Chaise Longue  - Wet Leg,,,,464,3
BAGeL Radio,A,Wet Leg,Chaise Longue -Chaise Longue,,,,1004,9
BAGeL Radio,A,Algiers,Chaka -There Is No Year,,,,171,1
BAGeL Radio,A,Spookyland,Champions,,,,90,1
BAGeL Radio,A,Richard Buckner,Chance Counsel,,,,96,1
BAGeL Radio,A,Carnivores,Chandelier,,,,88,1
BAGeL Radio,A,Killing Joke,Change -Killing Joke,,,,128,1
BAGeL Radio,A,We Are Augustines,Chapel Song,,,,174,2
BAGeL Radio,A,We Are Augustines,Chapel Song -We Are Augustines,,,,138,1
BAGeL Radio,A,Sonic Youth,Chappel Hill,,,,160,1
BAGeL Radio,A,Courtney Barnett,Charity,,,,66,1
BAGeL Radio,A,Courtney Barnett,Charity -Tell Me How You Really Feel,,,,110,1
BAGeL Radio,A,Animal Electricity,Charlottesville -Beginning to See the Light,,,,167,2
BAGeL Radio,A,Ride,Charm Assault,,,,150,1
BAGeL Radio,A,Skipping Girl Vinegar,Chase The Sun -Chase The Sun,,,,152,1
BAGeL Radio,A,Joke,Chastity Belt-Time to Go Home,,,,113,1
BAGeL Radio,A,Twerps,Cheap Education -Range Anxiety,,,,258,2
BAGeL Radio,A,Yeah Yeah Yeahs,Cheated Hearts,,,,99,1
BAGeL Radio,A,Chelan,Checked in [Kid 606 Remix],,,,134,1
BAGeL Radio,A,Next To Me [Yo Guy Version],Cheekface-Next To Me [Yo Guy Version] (single),,,,88,1
BAGeL Radio,A,That Thing You Do,Cheekface-Saving For A Custom Van,,,,108,1
BAGeL Radio,A,Grandaddy,Chek Injin -Last Place,,,,126,1
BAGeL Radio,A,The Fratellis,Chelsea Dagger -Costello Music,,,,159,1
BAGeL Radio,A,Goldenboy,Chelsea Girl,,,,127,1
BAGeL Radio,A,Blur,Chemical World,,,,198,1
BAGeL Radio,A,The Lovely Sparrows,Chemicals Change,,,,167,1
BAGeL Radio,A,The Prayers,Cherish,,,,78,1
BAGeL Radio,A,The Prayers,Cherish -Through the Wilderness: a tribute to Madonna,,,,136,1
BAGeL Radio,A,Paul Jacobs,Cherry,,,,116,1
BAGeL Radio,A,Groundhogs,Cherry Red -Split,,,,413,3
BAGeL Radio,A,The Death Set,Chew It Like A Gun Gum -Michel Poiccard,,,,151,1
BAGeL Radio,A,Spoon,Chicago At Night -Girls Can Tell,,,,140,1
BAGeL Radio,A,Rogue Wave,Chicago X 12 -Asleep At Heaven's Gate,,,,144,1
BAGeL Radio,A,T-Rextasy,Chik'N,,,,67,1
BAGeL Radio,A,Brothers In Law,Childhood,,,,109,1
BAGeL Radio,A,Delta Spirit,Children -Ode To Sunshine,,,,69,1
BAGeL Radio,A,SPS,Children Collide-Time Itself,,,,559,5
BAGeL Radio,A,Gap Dream,Chill Spot,,,,233,2
BAGeL Radio,A,77:78,Chilli -Jellies,,,,239,2
BAGeL Radio,A,Bad//Dreems,Chills -Bedlands,,,,166,2
BAGeL Radio,A,Literature,Chime Hours -Chorus,,,,104,1
BAGeL Radio,A,It&#8217;s True,Chime School-Chime School,,,,592,6
BAGeL Radio,A,It’s True,Chime School-Chime School,,,,523,6
BAGeL Radio,A,Taking Time to Tell You,Chime School-Chime School,,,,479,5
BAGeL Radio,A,Wait Your Turn,Chime School-Chime School,,,,153,2
BAGeL Radio,A,Red Rockers,China,,,,85,1
BAGeL Radio,A,David Bowie,China Girl,,,,149,1
BAGeL Radio,A,Mew,Chinaberry Tree,,,,174,1
BAGeL Radio,A,M. Ward,Chinese Translation,,,,140,1
BAGeL Radio,A,LKFFCT,Chipping Paint,,,,113,1
BAGeL Radio,A,LKFFCT,Chipping Paint -The Flower Investment Pawn,,,,148,1
BAGeL Radio,A,Snow Patrol,Chocolate -Final Straw,,,,179,1
BAGeL Radio,A,Vulkano,Choir Of Wolves -Live Wild Die Free,,,,115,1
BAGeL Radio,A,Slaves,Chokehold -Acts of Fear and Love,,,,118,1
BAGeL Radio,A,Honeyblood,Choker -Honeyblood,,,,100,1
BAGeL Radio,A,Plague Vendor,Chopper -Bloodsweat,,,,110,1
BAGeL Radio,A,Las Rosas,Christa -Shadow by Your Side,,,,172,1
BAGeL Radio,A,David Kilgour & the Heavy Eights,Christopher Columbus,,,,82,1
BAGeL Radio,A,Ride,Chrome Waves -Going Blank Again,,,,102,1
BAGeL Radio,A,I Hate The Radio,Chubby and the Gang-The Mutt's Nuts,,,,566,5
BAGeL Radio,A,White Rags,Chubby and the Gang-The Mutt's Nuts,,,,506,5
BAGeL Radio,A,Elephone,Chump Change (radio edit),,,,110,1
BAGeL Radio,A,Brendan Canning,Churches Under The Stairs,,,,80,1
BAGeL Radio,A,Gwenno,Chwyldro,,,,54,1
BAGeL Radio,A,Gwenno,Chwyldro -Y Dydd Olaf,,,,128,1
BAGeL Radio,A,La Luz,Cicada,,,,116,1
BAGeL Radio,A,Arctic Monkeys,Cigarette Smoker Fiona,,,,85,1
BAGeL Radio,A,Latvian Radio,Cigarettes & Soda,,,,73,1
BAGeL Radio,A,The Moses Gun,Cinnamon,,,,103,1
BAGeL Radio,A,Neil Young,Cinnamon Girl,,,,88,1
BAGeL Radio,A,Fear Of Music,Cities  - Talking Heads,,,,612,4
BAGeL Radio,A,Talking Heads,Cities -Fear Of Music,,,,127,1
BAGeL Radio,A,Public Practice,Cities -Gentle Grip,,,,109,1
BAGeL Radio,A,Siouxsie & the Banshees,Cities In Dust,,,,100,1
BAGeL Radio,A,Courtney Barnett,City Looks Pretty -Tell Me How You Really Feel,,,,118,1
BAGeL Radio,A,Tyvek,City Of A Dream,,,,93,1
BAGeL Radio,A,Turbonegro,City Of Satan (radio edit) -City Of Satan (single),,,,155,1
BAGeL Radio,A,Tindersticks,City Sickness -Tindersticks,,,,108,1
BAGeL Radio,A,Secret Colours,City Slicker -Positive Distractions,,,,113,1
BAGeL Radio,A,The Arcade Fire,City With No Children,,,,67,1
BAGeL Radio,A,The Arcade Fire,City With No Children -The Suburbs,,,,184,2
BAGeL Radio,A,Gold & Youth,City of Quartz -Beyond Wilderness,,,,107,1
BAGeL Radio,A,Savages,City's Full,,,,110,1
BAGeL Radio,A,The Clash,Clampdown,,,,191,1
BAGeL Radio,A,Los Blancos,Clarach,,,,159,1
BAGeL Radio,A,Charlie Boyer And The Voyeurs,Clarietta -Clarietta,,,,126,1
BAGeL Radio,A,Love Is Chemicals,Claw Your Sweater -Love Is Chemicals,,,,183,1
BAGeL Radio,A,Coriky,Clean Kill -Coriky,,,,311,2
BAGeL Radio,A,POLYSICS,Cleaning,,,,100,1
BAGeL Radio,A,The Growl,Cleaver Lever -What Would Christ Do??,,,,176,1
BAGeL Radio,A,Audra Mae & The Almighty Sound,Climb,,,,61,1
BAGeL Radio,A,Fantasy Island,Clinic-Fantasy Island,,,,92,1
BAGeL Radio,A,Grand Finale,Clinic-Fantasy Island,,,,465,5
BAGeL Radio,A,Take A Chance,Clinic-Fantasy Island,,,,536,6
BAGeL Radio,A,Thee More Shallows,Cloisterphobia,,,,143,1
BAGeL Radio,A,Art Of Noise,Close (To The Edit),,,,201,1
