NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,"I Kill Your Love, Baby!", Hearts  - I Break Horses,,,,116,1
BAGeL Radio,A,She's My Best Friend, Heaven & Hell &#8211; A Tribute To The Velvet Underground (Volume One)  - The Wedding Present,,,,101,1
BAGeL Radio,A,She's My Best Friend, Heaven & Hell – A Tribute To The Velvet Underground (Volume One)  - The Wedding Present,,,,69,1
BAGeL Radio,A,Heaven Beats Iowa, Heaven Beats Iowa [EP]  - Cub Scout Bowling Pins,,,,77,1
BAGeL Radio,A,Lucy, Hello Love / Goodbye Sexual  - Young Things,,,,95,1
BAGeL Radio,A,The Lottery, High Dive  - Little Beirut,,,,93,1
BAGeL Radio,A,Your Ghost, Hips & Makers  - Kristin Hersh,,,,93,1
BAGeL Radio,A,Gingerale Afternoon ( The Astrology Of A Saturday), Hit To Death In The Future Head  - The Flaming Lips,,,,91,1
BAGeL Radio,A,PepsiCoke Suicide, Holo Pleasures / California Dreamin'  - Elvis Depressedly,,,,90,1
BAGeL Radio,A,Real Thing, Holy Heatwave  - Lady Legs,,,,76,1
BAGeL Radio,A,The Opener, How to Socialise & Make Friends  - Camp Cope,,,,93,1
BAGeL Radio,A,Whatever You Want, How's Your Process?  - Dot Hacker,,,,84,1
BAGeL Radio,A,For The Birds, Hymn And Her  - Earlimart,,,,93,1
BAGeL Radio,A,Tell Me in a Whisper, I Need You Bad  - Warm Soda,,,,110,1
BAGeL Radio,A, Color Of The Pool, I Want The Door To Open  - Lala Lala,,,,68,1
BAGeL Radio,A,-  Color Of The Pool, I Want The Door To Open  - Lala Lala,,,,69,1
BAGeL Radio,A,Color Of The Pool, I Want The Door To Open  - Lala Lala,,,,73,1
BAGeL Radio,A,-  Color Of The Pool, I Want The Door To Open Lala Lala,,,,68,1
BAGeL Radio,A,Wet Jets, III  - W.H.I.T.E.,,,,118,1
BAGeL Radio,A,Leda, Ill  - Makthaverskan,,,,91,1
BAGeL Radio,A,Barbarellas, Irene b/w Barbarellas  - The Photos,,,,91,1
BAGeL Radio,A,Woods, Is It Honest?,,,,40,1
BAGeL Radio,A,High in the Rain, It's Not Them. It Couldn't Be Them. It Is Them!  - Guided By Voices,,,,103,1
BAGeL Radio,A,Dog That Bit You, Jackleg Devotional to the Heart  - The Baptist Generals,,,,112,1
BAGeL Radio,A,Golden Phone, Jewellery  - Micachu & The Shapes,,,,97,1
BAGeL Radio,A,One Tree Hill, Joshua Tree  - U2,,,,111,1
BAGeL Radio,A,Don't Race, Joy  - The Peep Tempel,,,,73,1
BAGeL Radio,A,I'm Not Getting Excited, Jump Rope Gazers  - The Beths,,,,101,1
BAGeL Radio,A,Never Nude, Keep on Truckin'  - Surfbort,,,,83,1
BAGeL Radio,A,Sister, King Giraffe  - The Parson Red Heads,,,,87,1
BAGeL Radio,A,A Well Respected Man, Kwyet Kinks EP  - The Kinks,,,,84,1
BAGeL Radio,A,Medication, Land Grab  - Unnatural Helpers,,,,97,1
BAGeL Radio,A,Larry, Let Me Come Over  - Buffalo Tom,,,,103,1
BAGeL Radio,A,Seven Trumpets, Lines Redacted  - Mush,,,,92,1
BAGeL Radio,A,Valle Local, Local Valley  - José González,,,,75,1
BAGeL Radio,A,Women Of The Night, Lonesome Love,,,,73,1
BAGeL Radio,A,It's Not Me, Lost At The Party  - Terry Malts,,,,78,1
BAGeL Radio,A,I Hate the Weekend, Lost Time  - Tacocat,,,,87,1
BAGeL Radio,A,Smith Street Swap Meet, Love&Loveand. (EP)  - Morning Harvey,,,,91,1
