NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,Young Fresh Fellows,After Suicide -I Think This Is,,,,154,1
BAGeL Radio,A,Numb.er,Again -Goodbye,,,,82,1
BAGeL Radio,A,New Order,"Age Of Consent -Power, Corruption & Lies",,,,91,1
BAGeL Radio,A,Beach Skulls,Ain't Easy (tedit) -Las Dunas,,,,170,1
BAGeL Radio,A,Dead Boys,"Ain't Nothing to Do -Young, Loud and Snotty",,,,133,1
BAGeL Radio,A,Conor Oberst and the Mystic Valley Band,Air Mattress -Outer South,,,,88,1
BAGeL Radio,A,RVG,Alexandra -Feral,,,,123,1
BAGeL Radio,A,Services,Alive -Eat Prey Love,,,,107,1
BAGeL Radio,A,The Morning Benders,All Day Daylight -Big Echo,,,,89,1
BAGeL Radio,A,Pixies,All I Think About Now -Head Carrier,,,,68,1
BAGeL Radio,A,Flaamingos,All I Wanna Do Is Live -Flaamingos,,,,143,1
BAGeL Radio,A,Dirty Lungs,All My Cats -Dirty Lungs,,,,398,3
BAGeL Radio,A,Say Hi,"All The Pretty Ones -Um, Uh Oh",,,,136,1
BAGeL Radio,A,Michael Stasis,All The Ways -RIP III,,,,164,1
BAGeL Radio,A,The Delgados,All You Need Is Hate -Hate,,,,147,1
BAGeL Radio,A,Lazaretto,Alone In My Home  - Jack White,,,,206,2
BAGeL Radio,A,Jack White,Alone In My Home -Lazaretto,,,,43,1
BAGeL Radio,A,High Places,Altos Lugares -Original Colors,,,,114,1
BAGeL Radio,A,Super Furry Animals,Aluminum Illuminatti -Hey Venus!,,,,138,1
BAGeL Radio,A,Nada Surf,Always Love -The Weight is a Gift,,,,89,1
BAGeL Radio,A,Death From Above 1979,Always On -The Physical World,,,,115,1
BAGeL Radio,A,Mikal Cronin,Am I Wrong -MCII,,,,385,3
BAGeL Radio,A,American Wrestlers,Amazing Grace -Goodbye Terrible Youth,,,,92,1
BAGeL Radio,A,Elephant Stone,American Dream -American Dream (single),,,,102,1
BAGeL Radio,A,Elvis Costello & The Imposters,American Gangster Time -Momofuku,,,,87,1
BAGeL Radio,A,Hollerado,Americanarama -Record In A Bag,,,,116,1
BAGeL Radio,A,Capital,Amyl and The Sniffers-Comfort To Me,,,,112,1
BAGeL Radio,A,Guided By Angels,Amyl and The Sniffers-Comfort To Me,,,,94,1
BAGeL Radio,A,Laughing,Amyl and The Sniffers-Comfort To Me,,,,69,1
BAGeL Radio,A,Security,Amyl and The Sniffers-Comfort To Me,,,,92,1
BAGeL Radio,A,Wild Yaks,Anabelle -Million Years   ,,,,107,1
BAGeL Radio,A,Wildlife Control,Analog or Digital -Spin,,,,160,1
BAGeL Radio,A,Thee More Shallows,Ancient Baby -Dad Jams,,,,92,1
BAGeL Radio,A,Terry Malts,And Suddenly -Lost At The Party,,,,85,1
BAGeL Radio,A,The Magnetic Fields,Andrew in Drag -Love at the Bottom of the Sea,,,,188,2
BAGeL Radio,A,Fur,Angel Eyes -Angel Eyes (single),,,,87,1
BAGeL Radio,A,Lee Ranaldo,Angles -Between The Times & The Tides,,,,90,1
BAGeL Radio,A,Dream Work,Anima (Tedit)  - Dinner,,,,211,2
BAGeL Radio,A,Dinner,Anima (Tedit) -Dream Work,,,,364,4
BAGeL Radio,A,Camp Cope,Animal & Real -How to Socialise & Make Friends,,,,114,1
BAGeL Radio,A,LUMP,Animal (Radio Edit) -Animal,,,,61,1
BAGeL Radio,A,Man Man,Animal Attraction -Dream Hunting in the Valley of the In-Between,,,,201,2
BAGeL Radio,A,Coke Weed,Anklet -Back To Soft,,,,113,1
BAGeL Radio,A,Happyness,"Anna, Lisa Calls -Write In",,,,163,1
BAGeL Radio,A,The High Water Marks,Annual Rings -Ecstasy Rhymes,,,,83,1
BAGeL Radio,A,Belle and Sebastian,Another Sunny Day -The Life Pursuit,,,,194,2
BAGeL Radio,A,Bright Eyes,"Another Travelin' Song -I'm Wide Awake, It's Morning",,,,99,1
BAGeL Radio,A,Royal Headache,Another World -High,,,,107,1
BAGeL Radio,A,Broken Social Scene,Anthems For a Seventeen-year Old Girl -You Forgot It In People,,,,130,1
BAGeL Radio,A,Jackson Scott,Any Way -Melbourne,,,,90,1
BAGeL Radio,A,Lou Barlow,Apocalypse Fetish -Apocalypse Fetish [EP],,,,93,1
BAGeL Radio,A,Sympathy for Life,Application/Apparatus  - Parquet Courts,,,,262,2
BAGeL Radio,A,Parquet Courts,Application/Apparatus -Sympathy for Life,,,,417,4
BAGeL Radio,A,Maxïmo Park,Apply Some Pressure (Radio Edit) -Apply Some Pressure (Single),,,,114,1
BAGeL Radio,A,Paul McCartney,Appreciate -New,,,,284,2
BAGeL Radio,A,Pomegranates,Appreciations -Everything Is Alive,,,,93,1
